ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
315,0,225,10
330,0,225,10
345,0,225,10
360,0,225,10
0,5,225,10
15,5,225,10
30,5,225,10
45,5,225,10
60,5,225,10
75,5,225,10
90,5,225,10
105,5,225,10
120,5,225,10
135,5,225,10
150,5,225,10
165,5,225,10
180,5,225,10
195,5,225,10
210,5,225,10
225,5,225,10
240,5,225,10
255,5,225,10
270,5,225,10
285,5,225,10
300,5,225,10
315,5,225,10
330,5,225,10
345,5,225,10
360,5,225,10
0,10,225,10
15,10,225,10
30,10,225,10
45,10,225,10
60,10,225,10
75,10,225,10
90,10,225,10
105,10,225,10
120,10,225,10
135,10,225,10
150,10,225,10
165,10,225,10
180,10,225,10
195,10,225,10
210,10,225,10
225,10,225,10
240,10,225,10
255,10,225,10
270,10,225,10
285,10,225,10
300,10,225,10
315,10,225,10
330,10,225,10
345,10,225,10
360,10,225,10
0,15,225,10
15,15,225,10
30,15,225,10
45,15,225,10
60,15,225,10
75,15,225,10
90,15,225,10
105,15,225,10
120,15,225,10
135,15,225,10
150,15,225,10
165,15,225,10
180,15,225,10
195,15,225,10
210,15,225,10
225,15,225,10
240,15,225,10
255,15,225,10
270,15,225,10
285,15,225,10
300,15,225,10
315,15,225,10
330,15,225,10
345,15,225,10
360,15,225,10
0,0,270,10
15,0,270,10
30,0,270,10
45,0,270,10
60,0,270,10
75,0,270,10
90,0,270,10
105,0,270,10
120,0,270,10
135,0,270,10
150,0,270,10
165,0,270,10
180,0,270,10
195,0,270,10
210,0,270,10
225,0,270,10
240,0,270,10
255,0,270,10
270,0,270,10
285,0,270,10
300,0,270,10
315,0,270,10
330,0,270,10
345,0,270,10
360,0,270,10
0,5,270,10
15,5,270,10
30,5,270,10
45,5,270,10
60,5,270,10
75,5,270,10
90,5,270,10
105,5,270,10
120,5,270,10
135,5,270,10
150,5,270,10
165,5,270,10
180,5,270,10
195,5,270,10
210,5,270,10
225,5,270,10
240,5,270,10
255,5,270,10
270,5,270,10
285,5,270,10
300,5,270,10
315,5,270,10
330,5,270,10
345,5,270,10
360,5,270,10
0,10,270,10
15,10,270,10
30,10,270,10
45,10,270,10
60,10,270,10
75,10,270,10
90,10,270,10
105,10,270,10
120,10,270,10
135,10,270,10
150,10,270,10
165,10,270,10
180,10,270,10
195,10,270,10
210,10,270,10
225,10,270,10
240,10,270,10
255,10,270,10
270,10,270,10
285,10,270,10
300,10,270,10
315,10,270,10
330,10,270,10
345,10,270,10
360,10,270,10
0,15,270,10
15,15,270,10
30,15,270,10
45,15,270,10
60,15,270,10
75,15,270,10
90,15,270,10
105,15,270,10
120,15,270,10
135,15,270,10
150,15,270,10
165,15,270,10
180,15,270,10
195,15,270,10
210,15,270,10
225,15,270,10
240,15,270,10
255,15,270,10
270,15,270,10
285,15,270,10
300,15,270,10
315,15,270,10
330,15,270,10
345,15,270,10
360,15,270,10
0,0,315,10
15,0,315,10
30,0,315,10
45,0,315,10
60,0,315,10
75,0,315,10
90,0,315,10
105,0,315,10
120,0,315,10
135,0,315,10
150,0,315,10
165,0,315,10
180,0,315,10
195,0,315,10
210,0,315,10
225,0,315,10
240,0,315,10
255,0,315,10
270,0,315,10
285,0,315,10
300,0,315,10
315,0,315,10
330,0,315,10
345,0,315,10
360,0,315,10
0,5,315,10
15,5,315,10
30,5,315,10
45,5,315,10
60,5,315,10
75,5,315,10
90,5,315,10
105,5,315,10
120,5,315,10
135,5,315,10
150,5,315,10
165,5,315,10
180,5,315,10
195,5,315,10
210,5,315,10
225,5,315,10
240,5,315,10
255,5,315,10
270,5,315,10
285,5,315,10
300,5,315,10
315,5,315,10
330,5,315,10
345,5,315,10
360,5,315,10
0,10,315,10
15,10,315,10
30,10,315,10
45,10,315,10
60,10,315,10
75,10,315,10
90,10,315,10
105,10,315,10
120,10,315,10
135,10,315,10
150,10,315,10
165,10,315,10
180,10,315,10
195,10,315,10
210,10,315,10
225,10,315,10
240,10,315,10
255,10,315,10
270,10,315,10
285,10,315,10
300,10,315,10
315,10,315,10
330,10,315,10
345,10,315,10
360,10,315,10
0,15,315,10
15,15,315,10
30,15,315,10
45,15,315,10
60,15,315,10
75,15,315,10
90,15,315,10
105,15,315,10
120,15,315,10
135,15,315,10
150,15,315,10
165,15,315,10
180,15,315,10
195,15,315,10
210,15,315,10
225,15,315,10
240,15,315,10
255,15,315,10
270,15,315,10
285,15,315,10
300,15,315,10
315,15,315,10
330,15,315,10
345,15,315,10
360,15,315,10
