ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
75,15,135,5
90,15,135,5
105,15,135,5
120,15,135,5
135,15,135,5
150,15,135,5
165,15,135,5
180,15,135,5
195,15,135,5
210,15,135,5
225,15,135,5
240,15,135,5
255,15,135,5
270,15,135,5
285,15,135,5
300,15,135,5
315,15,135,5
330,15,135,5
345,15,135,5
360,15,135,5
0,0,140,3
0,0,150,3
0,0,160,3
0,0,170,3
0,0,180,3
0,0,180,5
15,0,180,5
30,0,180,5
45,0,180,5
60,0,180,5
75,0,180,5
90,0,180,5
105,0,180,5
120,0,180,5
135,0,180,5
150,0,180,5
165,0,180,5
180,0,180,5
195,0,180,5
210,0,180,5
225,0,180,5
240,0,180,5
255,0,180,5
270,0,180,5
285,0,180,5
300,0,180,5
315,0,180,5
330,0,180,5
345,0,180,5
360,0,180,5
0,5,180,5
15,5,180,5
30,5,180,5
45,5,180,5
60,5,180,5
75,5,180,5
90,5,180,5
105,5,180,5
120,5,180,5
135,5,180,5
150,5,180,5
165,5,180,5
180,5,180,5
195,5,180,5
210,5,180,5
225,5,180,5
240,5,180,5
255,5,180,5
270,5,180,5
285,5,180,5
300,5,180,5
315,5,180,5
330,5,180,5
345,5,180,5
360,5,180,5
0,10,180,5
15,10,180,5
30,10,180,5
45,10,180,5
60,10,180,5
75,10,180,5
90,10,180,5
105,10,180,5
120,10,180,5
135,10,180,5
150,10,180,5
165,10,180,5
180,10,180,5
195,10,180,5
210,10,180,5
225,10,180,5
240,10,180,5
255,10,180,5
270,10,180,5
285,10,180,5
300,10,180,5
315,10,180,5
330,10,180,5
345,10,180,5
360,10,180,5
0,15,180,5
15,15,180,5
30,15,180,5
45,15,180,5
60,15,180,5
75,15,180,5
90,15,180,5
105,15,180,5
120,15,180,5
135,15,180,5
150,15,180,5
165,15,180,5
180,15,180,5
195,15,180,5
210,15,180,5
225,15,180,5
240,15,180,5
255,15,180,5
270,15,180,5
285,15,180,5
300,15,180,5
315,15,180,5
330,15,180,5
345,15,180,5
360,15,180,5
0,0,190,3
0,0,200,3
0,0,210,3
0,0,220,3
0,0,225,5
15,0,225,5
30,0,225,5
45,0,225,5
60,0,225,5
75,0,225,5
90,0,225,5
105,0,225,5
120,0,225,5
135,0,225,5
150,0,225,5
165,0,225,5
180,0,225,5
195,0,225,5
210,0,225,5
225,0,225,5
240,0,225,5
255,0,225,5
270,0,225,5
285,0,225,5
300,0,225,5
315,0,225,5
330,0,225,5
345,0,225,5
360,0,225,5
0,5,225,5
15,5,225,5
30,5,225,5
45,5,225,5
60,5,225,5
75,5,225,5
90,5,225,5
105,5,225,5
120,5,225,5
135,5,225,5
150,5,225,5
165,5,225,5
180,5,225,5
195,5,225,5
210,5,225,5
225,5,225,5
240,5,225,5
255,5,225,5
270,5,225,5
285,5,225,5
300,5,225,5
315,5,225,5
330,5,225,5
345,5,225,5
360,5,225,5
0,10,225,5
15,10,225,5
30,10,225,5
45,10,225,5
60,10,225,5
75,10,225,5
90,10,225,5
105,10,225,5
120,10,225,5
135,10,225,5
150,10,225,5
165,10,225,5
180,10,225,5
195,10,225,5
210,10,225,5
225,10,225,5
240,10,225,5
255,10,225,5
270,10,225,5
285,10,225,5
300,10,225,5
315,10,225,5
330,10,225,5
345,10,225,5
360,10,225,5
0,15,225,5
15,15,225,5
30,15,225,5
45,15,225,5
60,15,225,5
75,15,225,5
90,15,225,5
105,15,225,5
120,15,225,5
135,15,225,5
150,15,225,5
165,15,225,5
180,15,225,5
195,15,225,5
210,15,225,5
225,15,225,5
240,15,225,5
255,15,225,5
270,15,225,5
285,15,225,5
300,15,225,5
315,15,225,5
330,15,225,5
345,15,225,5
360,15,225,5
0,0,230,3
0,0,240,3
0,0,250,3
0,0,260,3
0,0,270,3
0,0,270,5
15,0,270,5
30,0,270,5
45,0,270,5
60,0,270,5
75,0,270,5
90,0,270,5
105,0,270,5
120,0,270,5
135,0,270,5
150,0,270,5
165,0,270,5
180,0,270,5
195,0,270,5
210,0,270,5
225,0,270,5
240,0,270,5
255,0,270,5
270,0,270,5
285,0,270,5
300,0,270,5
315,0,270,5
330,0,270,5
345,0,270,5
360,0,270,5
0,5,270,5
15,5,270,5
30,5,270,5
45,5,270,5
60,5,270,5
75,5,270,5
90,5,270,5
105,5,270,5
120,5,270,5
135,5,270,5
150,5,270,5
165,5,270,5
180,5,270,5
195,5,270,5
210,5,270,5
225,5,270,5
240,5,270,5
255,5,270,5
270,5,270,5
285,5,270,5
300,5,270,5
315,5,270,5
330,5,270,5
345,5,270,5
360,5,270,5
0,10,270,5
15,10,270,5
30,10,270,5
45,10,270,5
60,10,270,5
75,10,270,5
90,10,270,5
105,10,270,5
120,10,270,5
135,10,270,5
150,10,270,5
165,10,270,5
180,10,270,5
195,10,270,5
210,10,270,5
225,10,270,5
240,10,270,5
255,10,270,5
270,10,270,5
285,10,270,5
300,10,270,5
315,10,270,5
330,10,270,5
345,10,270,5
360,10,270,5
0,15,270,5
15,15,270,5
30,15,270,5
45,15,270,5
60,15,270,5
75,15,270,5
90,15,270,5
105,15,270,5
120,15,270,5
135,15,270,5
150,15,270,5
165,15,270,5
180,15,270,5
195,15,270,5
210,15,270,5
225,15,270,5
240,15,270,5
255,15,270,5
270,15,270,5
285,15,270,5
300,15,270,5
315,15,270,5
330,15,270,5
345,15,270,5
360,15,270,5
0,0,280,3
0,0,290,3
0,0,300,3
0,0,310,3
0,0,315,5
15,0,315,5
30,0,315,5
45,0,315,5
60,0,315,5
75,0,315,5
90,0,315,5
105,0,315,5
120,0,315,5
135,0,315,5
150,0,315,5
165,0,315,5
180,0,315,5
195,0,315,5
210,0,315,5
225,0,315,5
240,0,315,5
255,0,315,5
270,0,315,5
285,0,315,5
300,0,315,5
315,0,315,5
330,0,315,5
345,0,315,5
360,0,315,5
0,5,315,5
15,5,315,5
30,5,315,5
45,5,315,5
60,5,315,5
75,5,315,5
90,5,315,5
105,5,315,5
120,5,315,5
135,5,315,5
150,5,315,5
165,5,315,5
180,5,315,5
195,5,315,5
210,5,315,5
225,5,315,5
240,5,315,5
255,5,315,5
270,5,315,5
285,5,315,5
300,5,315,5
315,5,315,5
330,5,315,5
345,5,315,5
360,5,315,5
0,10,315,5
15,10,315,5
30,10,315,5
45,10,315,5
60,10,315,5
75,10,315,5
